place_id,raw_place_id,cid,title,category,categories,address,city,state,country_code,lat,lng,google_maps_url,website,phone,total_score,reviews_count,images_count,price,temporarily_closed,permanently_closed,search_string,scraped_at,data_score
dalat_012,ChIJsx_cOhoTcTEREMfnZkiJ6FQ,6118291037839935248,Đà Lạt Nights - Quán cà phê view thành phố,Quán cà phê,Quán cà phê,"4 Đường Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9259335,108.4453393,https://www.google.com/maps/search/?api=1&query=%C4%90%C3%A0%20L%E1%BA%A1t%20Nights%20-%20Qu%C3%A1n%20c%C3%A0%20ph%C3%AA%20view%20th%C3%A0nh%20ph%E1%BB%91&query_place_id=ChIJsx_cOhoTcTEREMfnZkiJ6FQ,https://www.facebook.com/Dalatnightscafe,+84 862 961 579,4.1,1421,4494,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:34.424Z,6.7429
dalat_013,ChIJDZPBJ_UTcTERaDvpNSsRA5c,10881560001942993768,Dalat Golf Cafe - Cafe ngắm view toàn cảnh thành phố Đà Lạt,Quán cà phê,Quán cà phê,"14 Đường Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9268783,108.4416005,https://www.google.com/maps/search/?api=1&query=Dalat%20Golf%20Cafe%20-%20Cafe%20ng%E1%BA%AFm%20view%20to%C3%A0n%20c%E1%BA%A3nh%20th%C3%A0nh%20ph%E1%BB%91%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJDZPBJ_UTcTERaDvpNSsRA5c,https://amazingdalat.com/,+84 263 3503 535,4.0,1363,3569,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:34.401Z,6.6708
dalat_014,ChIJpUxspckTcTERQotRcaVt_VE,5907998843518159682,Trang's Cookery Restaurant,Nhà hàng,Nhà hàng,"211 Phan Đình Phùng, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9471866,108.4354851,https://www.google.com/maps/search/?api=1&query=Trang's%20Cookery%20Restaurant&query_place_id=ChIJpUxspckTcTERQotRcaVt_VE,,+84 972 897 227,4.7,1174,1980,100-200 N ₫,False,False,restaurant,2026-05-11T03:51:57.537Z,6.6475
dalat_015,ChIJX3Kz7EkTcTERFLUQaEgAj3s,8903335299318330644,Lululola,Sân khấu,Sân khấu,"Đường 3/4, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9199832,108.4421036,https://www.google.com/maps/search/?api=1&query=Lululola&query_place_id=ChIJX3Kz7EkTcTERFLUQaEgAj3s,,,4.2,1212,4123,$$,False,False,quán cafe Đà Lạt,2026-05-16T13:49:59.071Z,6.6431
dalat_016,ChIJbW1Op6cTcTER1i-ZlxZ1TTs,4273200361337597910,Now Restaurant - Nhà hàng Cơm Niêu - Lẩu Gia Đình Ngon Dalat (- Best food),Nhà hàng,Nhà hàng,"5 Đường Lý Tự Trọng, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9445092,108.4391796,https://www.google.com/maps/search/?api=1&query=Now%20Restaurant%20-%20Nh%C3%A0%20h%C3%A0ng%20C%C6%A1m%20Ni%C3%AAu%20-%20L%E1%BA%A9u%20Gia%20%C4%90%C3%ACnh%20Ngon%20Dalat%20(-%20Best%20food)&query_place_id=ChIJbW1Op6cTcTER1i-ZlxZ1TTs,,+84 984 108 668,4.7,1159,1240,100-200 N ₫,False,False,restaurant,2026-05-11T03:51:57.538Z,6.5917
dalat_017,ChIJK8avtI0TcTERF7wrBIoH7sU,14262345359285795863,Hoàng hôn 3000,Nhà hàng món nướng,Nhà hàng món nướng,"37 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng 67000, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.9719841,108.4514667,https://www.google.com/maps/search/?api=1&query=Ho%C3%A0ng%20h%C3%B4n%203000&query_place_id=ChIJK8avtI0TcTERF7wrBIoH7sU,http://1phutdalat.vn/,+84 383 877 895,4.9,1164,590,200-300 N ₫,False,False,restaurant,2026-05-11T03:51:58.800Z,6.5605
dalat_018,ChIJW3FM-JYTcTERU0xUOQVuDQ0,940528865906019411,Mộc Quán BBQ,Nhà hàng,Nhà hàng,"Hẻm 59 Đường Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9218202,108.4404024,https://www.google.com/maps/search/?api=1&query=M%E1%BB%99c%20Qu%C3%A1n%20BBQ&query_place_id=ChIJW3FM-JYTcTERU0xUOQVuDQ0,https://m.facebook.com/Mocquanbbq?mibextid=dGKdO6,+84 963 576 898,4.8,1018,1736,100-300 N ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:49:52.267Z,6.5546
dalat_019,ChIJ79RR4KgTcTERrO33RG7cMHo,8804779637670931884,Tiệm cà phê Góc của Tùng,Quán cà phê,Quán cà phê,"Hẻm 32 Đ. 3/4, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9198646,108.4419735,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20c%C3%A0%20ph%C3%AA%20G%C3%B3c%20c%E1%BB%A7a%20T%C3%B9ng&query_place_id=ChIJ79RR4KgTcTERrO33RG7cMHo,,+84 941 507 560,4.6,724,3019,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:30.163Z,6.3316
dalat_020,ChIJ0zFWlQkTcTERUNlDevq4RuU,16521095668987844944,Quán nướng Lơ-ghim Grill & Chill Đà Lạt,Nhà hàng món nướng,Nhà hàng món nướng,"38 Đường Võ Trường Toản, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.9593929,108.4457652,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20n%C6%B0%E1%BB%9Bng%20L%C6%A1-ghim%20Grill%20%26%20Chill%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJ0zFWlQkTcTERUNlDevq4RuU,,+84 378 416 293,4.6,818,1212,200-300 N ₫,False,False,restaurant,2026-05-11T03:51:58.801Z,6.3257
dalat_021,ChIJO65My7kScTERk7tqZO3ilm4,7968806099898514323,Nhà hàng Tâm Đắc,Nhà hàng,Nhà hàng,"290 Đường Phù Đổng Thiên Vương, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.9736436,108.4408013,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20T%C3%A2m%20%C4%90%E1%BA%AFc&query_place_id=ChIJO65My7kScTERk7tqZO3ilm4,http://nhahangtamdac.com/dich-vu-tiec-cuoi-tron-goi-tai-gia-da-lat-nha-hang-tam-dac,+84 263 3552 530,3.7,1002,1530,100-500 N ₫,False,False,restaurant,2026-05-11T03:51:57.537Z,6.3109
dalat_022,ChIJiaTmaGMTcTERClF6wl4kdG4,7959026430878830858,Chợ Phiên Quán,Nhà hàng,Nhà hàng,"118 Vạn Hạnh, Lâm Viên - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.9649665,108.4460054,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%A3%20Phi%C3%AAn%20Qu%C3%A1n&query_place_id=ChIJiaTmaGMTcTERClF6wl4kdG4,,+84 766 355 699,4.1,853,1921,100-300 N ₫,False,False,restaurant,2026-05-11T03:51:58.801Z,6.3011
dalat_023,ChIJEye-SV4TcTERJT0cFnu62zk,4169130917876219173,TỤT NƯỚNG: Tiệm nướng Đà Lạt,Nhà hàng món nướng,Nhà hàng món nướng,"4 Trần Khánh Dư, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.9591556,108.4393129,https://www.google.com/maps/search/?api=1&query=T%E1%BB%A4T%20N%C6%AF%E1%BB%9ANG%3A%20Ti%E1%BB%87m%20n%C6%B0%E1%BB%9Bng%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJEye-SV4TcTERJT0cFnu62zk,https://tut.com.vn/,+84 972 005 097,4.9,725,1075,,False,False,restaurant,2026-05-11T03:51:58.318Z,6.2894
dalat_024,ChIJzzMXM1wTcTERTIdrsfz1Y34,9107393337130452812,Tiệm cơm Hồi Đó,Nhà hàng cơm,Nhà hàng cơm,"5 Lý Nam Đế, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.9581647,108.4390875,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20c%C6%A1m%20H%E1%BB%93i%20%C4%90%C3%B3&query_place_id=ChIJzzMXM1wTcTERTIdrsfz1Y34,https://www.facebook.com/tiemcomhoido/,+84 929 394 939,4.8,740,1018,,False,False,restaurant,2026-05-11T03:51:58.318Z,6.2783
dalat_025,ChIJsTSx5y0TcTER85bfU2UZgOU,16537245754694014707,Lẩu chay Hằng Thiện Đà Lạt,Nhà hàng món chay,Nhà hàng món chay,"265/4 Đ. Bùi Thị Xuân, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.9540133,108.4401974,https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20chay%20H%E1%BA%B1ng%20Thi%E1%BB%87n%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJsTSx5y0TcTER85bfU2UZgOU,https://www.facebook.com/Hocmoquanchay,+84 911 267 739,4.9,708,934,1-100.000 ₫,False,False,restaurant,2026-05-11T03:51:57.536Z,6.2588
dalat_026,ChIJaetWRy4TcTERnUlu6jmmwVM,6035287743329618333,Lẩu - Nướng BBQ No1 Đà Lạt,Nhà hàng món nướng,Nhà hàng món nướng,"số mới Xô Viết Nghệ Tĩnh, Phường LangBiang, Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Đà Lạt, Lâm Đồng",VN,11.9608967,108.4343382,https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20-%20N%C6%B0%E1%BB%9Bng%20BBQ%20No1%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJaetWRy4TcTERnUlu6jmmwVM,https://www.facebook.com/bbqno1dalat/,+84 941 669 996,4.1,756,2726,100-200 N ₫,False,False,restaurant,2026-05-11T03:51:57.536Z,6.2517
dalat_027,ChIJ0992KssScTER0HH0Rh8Jw-Q,16484029091045208528,Quán phở Uyên,Nhà hàng phở,Nhà hàng phở,"167 Xô Viết Nghệ Tĩnh, Lang Biang - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Lang Biang - Đà Lạt, Lâm Đồng",VN,11.9690064,108.4277613,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20ph%E1%BB%9F%20Uy%C3%AAn&query_place_id=ChIJ0992KssScTER0HH0Rh8Jw-Q,https://www.foody.vn/lam-dong/pho-uyen,+84 915 757 827,4.4,772,954,$$,False,False,restaurant,2026-05-11T03:51:58.319Z,6.2214
dalat_028,ChIJm8JZ1lMTcTERR0SlJDNuk-4,17191205368540513351,Lẩu Gà Lá É Alida & Homestay Đà Lạt Giá Rẻ,Nhà hàng,Nhà hàng,"38 Đường Triệu Việt Vương, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9229138,108.4353026,https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20G%C3%A0%20L%C3%A1%20%C3%89%20Alida%20%26%20Homestay%20%C4%90%C3%A0%20L%E1%BA%A1t%20Gi%C3%A1%20R%E1%BA%BB&query_place_id=ChIJm8JZ1lMTcTERR0SlJDNuk-4,http://facebook.com/Alidahomestay,+84 888 821 025,4.5,708,1188,,False,False,quán cafe Đà Lạt,2026-05-16T13:49:37.472Z,6.2028
dalat_029,ChIJo6Jp9CwTcTER0YpbBnBNDcY,14271147937745308369,Pizza Chorio®,Nhà hàng pizza,Nhà hàng pizza,"414 Đường Võ Trường Toản, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.9587953,108.4496568,https://www.google.com/maps/search/?api=1&query=Pizza%20Chorio%C2%AE&query_place_id=ChIJo6Jp9CwTcTER0YpbBnBNDcY,http://www.facebook.com/pizzachorio,+84 916 078 107,4.6,688,957,100-200 N ₫,False,False,restaurant,2026-05-11T03:51:58.801Z,6.1812
dalat_030,ChIJNV9IKQATcTERswubg5OlsbY,13164485238767422387,Tiệm Trà Phụng Đà Lạt,Quán cà phê,Quán cà phê,"Hẻm 59 Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9202979,108.4411736,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20Tr%C3%A0%20Ph%E1%BB%A5ng%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJNV9IKQATcTERswubg5OlsbY,https://www.facebook.com/tiemtraphungdalat,+84 917 761 486,4.2,722,1254,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:11.201Z,6.1619
dalat_031,ChIJj46WxHMTcTERcfvCk3rrwv0,18285436348775201649,Hoa Xương Rồng - Quán Cà Phê Trung Tâm TP Đà Lạt,Quán cà phê,Quán cà phê,"89 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng 66117, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9337549,108.4652509,https://www.google.com/maps/search/?api=1&query=Hoa%20X%C6%B0%C6%A1ng%20R%E1%BB%93ng%20-%20Qu%C3%A1n%20C%C3%A0%20Ph%C3%AA%20Trung%20T%C3%A2m%20TP%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJj46WxHMTcTERcfvCk3rrwv0,https://hoaxuongrong.vn/,+84 925 903 634,4.4,633,1978,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:11.960Z,6.1555
dalat_032,ChIJVZSyMn8TcTERipxA5_5C4cE,13970521181648886922,Burrata Woodfired Pizza,Quán ăn nhỏ,Quán ăn nhỏ,"Hẻm 32 Đ. 3/4, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9152069,108.4391346,https://www.google.com/maps/search/?api=1&query=Burrata%20Woodfired%20Pizza&query_place_id=ChIJVZSyMn8TcTERipxA5_5C4cE,,+84 356 052 927,4.4,537,1722,200-300 N ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:49:24.651Z,6.0267
dalat_033,ChIJieWxjYkTcTERTK0dri69we4,17204240059719331148,Nàng Dalat,Quán cà phê,Quán cà phê,"18/2 Đường Khởi Nghĩa Bắc Sơn, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9347198,108.4507834,https://www.google.com/maps/search/?api=1&query=N%C3%A0ng%20Dalat&query_place_id=ChIJieWxjYkTcTERTK0dri69we4,,+84 911 229 393,4.6,515,1151,100-200 N ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:14.444Z,5.9972
dalat_034,ChIJ1UQAsikTcTERxACXhNbvuAI,196170288417145028,420 Sunset cocktail bar DaLat,Quán bar cocktail,Quán bar cocktail,"Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9230839,108.44083,https://www.google.com/maps/search/?api=1&query=420%20Sunset%20cocktail%20bar%20DaLat&query_place_id=ChIJ1UQAsikTcTERxACXhNbvuAI,https://www.facebook.com/420Sunsetcocktailbar.Dalat,+84 981 298 420,4.6,475,1330,100-500 N ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:49:56.060Z,5.9552
dalat_035,ChIJy1g3bsgTcTERH4a3FF81jCc,2849711346704418335,Dưới Tán Thông Già Coffee House,Quán cà phê,Quán cà phê,"12A/17 Đường Triệu Việt Vương, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9289026,108.4299918,https://www.google.com/maps/search/?api=1&query=D%C6%B0%E1%BB%9Bi%20T%C3%A1n%20Th%C3%B4ng%20Gi%C3%A0%20Coffee%20House&query_place_id=ChIJy1g3bsgTcTERH4a3FF81jCc,http://www.facebook.com/duoitanthonggiacoffeehouse,+84 786 002 911,4.8,348,1723,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:48:49.922Z,5.8038
dalat_036,ChIJNyjkLT0TcTERXICsT96afYc,9763129846819225692,Sunshine Coffee Dalat,Quán cà phê,Quán cà phê,"09 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9373542,108.4489852,https://www.google.com/maps/search/?api=1&query=Sunshine%20Coffee%20Dalat&query_place_id=ChIJNyjkLT0TcTERXICsT96afYc,https://www.facebook.com/sunshinecoffeedalat,+84 911 665 021,4.2,407,1585,$$,False,False,quán cafe Đà Lạt,2026-05-16T13:50:14.688Z,5.7848
dalat_037,ChIJn0RSyFMTcTERfMSHBahViaU,11928159268203119740,Khách sạn Green Eco Đà Lạt,Khách sạn nghỉ dưỡng,Khách sạn nghỉ dưỡng,"9A Đường Triệu Việt Vương, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9193183,108.4361791,https://www.google.com/maps/search/?api=1&query=Kh%C3%A1ch%20s%E1%BA%A1n%20Green%20Eco%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJn0RSyFMTcTERfMSHBahViaU,https://greenecodalat.com.vn/,+84 866 522 772,4.6,397,692,13 US$,False,False,quán cafe Đà Lạt,2026-05-16T13:49:04.833Z,5.7646
